Symbol,Name
0,A,Agilent Technologies Inc. Common Stock
1,AA,Alcoa Corporation Common Stock 
2,AAC,Ares Acquisition Corporation Class A Ordinary Shares
3,AACG,ATA Creativity Global American Depositary Shares
4,AACI,Armada Acquisition Corp. I Common Stock
5,AACIU,Armada Acquisition Corp. I Unit
6,AACIW,Armada Acquisition Corp. I Warrant
7,AADI,Aadi Bioscience Inc. Common Stock
8,AAIC,Arlington Asset Investment Corp Class A (new)
9,AAIC^B,Arlington Asset Investment Corp 7.00% 
10,AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   
11,AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
12,AAL,American Airlines Group Inc. Common Stock
13,AAME,Atlantic American Corporation Common Stock
14,AAN,Aarons Holdings Company Inc. Common Stock 
15,AAOI,Applied Optoelectronics Inc. Common Stock
16,AAON,AAON Inc. Common Stock
17,AAP,Advance Auto Parts Inc.
18,AAPL,Apple Inc. Common Stock
19,AAQC,Accelerate Acquisition Corp. Class A Common Stock
20,AAT,American Assets Trust Inc. Common Stock
21,AATC,Autoscope Technologies Corporation Common Stock
22,AAU,Almaden Minerals Ltd. Common Shares
23,AAWW,Atlas Air Worldwide Holdings NEW Common Stock
24,AB,AllianceBernstein Holding L.P.  Units
25,ABB,ABB Ltd Common Stock
26,ABBV,AbbVie Inc. Common Stock
27,ABC,AmerisourceBergen Corporation Common Stock
28,ABCB,Ameris Bancorp Common Stock
29,ABCL,AbCellera Biologics Inc. Common Shares
30,ABCM,Abcam plc American Depositary Shares
31,ABEO,Abeona Therapeutics Inc. Common Stock
32,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
33,ABG,Asbury Automotive Group Inc Common Stock
34,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares
35,ABIO,ARCA biopharma Inc. Common Stock
36,ABM,ABM Industries Incorporated Common Stock
37,ABMD,ABIOMED Inc. Common Stock
38,ABNB,Airbnb Inc. Class A Common Stock
39,ABOS,Acumen Pharmaceuticals Inc. Common Stock
40,ABR,Arbor Realty Trust Common Stock
41,ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
42,ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
43,ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share
44,ABSI,Absci Corporation Common Stock
45,ABST,Absolute Software Corporation Common Stock
46,ABT,Abbott Laboratories Common Stock
47,ABTX,Allegiance Bancshares Inc. Common Stock
48,ABUS,Arbutus Biopharma Corporation Common Stock
49,ABVC,ABVC BioPharma Inc. Common Stock
50,AC,Associated Capital Group Inc. Common Stock
51,ACA,Arcosa Inc. Common Stock 
52,ACAD,ACADIA Pharmaceuticals Inc. Common Stock
53,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock
54,ACAHU,Atlantic Coastal Acquisition Corp. Unit
55,ACAHW,Atlantic Coastal Acquisition Corp. Warrant
56,ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock
57,ACB,Aurora Cannabis Inc. Common Shares
58,ACBA,Ace Global Business Acquisition Limited Ordinary Shares
59,ACBAW,Ace Global Business Acquisition Limited Warrant
60,ACBI,Atlantic Capital Bancshares Inc. Common Stock
61,ACC,American Campus Communities Inc Common Stock
62,ACCD,Accolade Inc. Common Stock
63,ACCO,Acco Brands Corporation Common Stock
64,ACEL,Accel Entertainment Inc. 
65,ACER,Acer Therapeutics Inc. Common Stock (DE)
66,ACET,Adicet Bio Inc. Common Stock 
67,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares
68,ACEVW,ACE Convergence Acquisition Corp. Warrant
69,ACGL,Arch Capital Group Ltd. Common Stock
70,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
71,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
72,ACH,Aluminum Corporation of China Limited American Depositary Shares
73,ACHC,Acadia Healthcare Company Inc. Common Stock
74,ACHL,Achilles Therapeutics plc American Depositary Shares
75,ACHR,Archer Aviation Inc. Class A Common Stock
76,ACHV,Achieve Life Sciences Inc. Common Shares
77,ACI,Albertsons Companies Inc. Class A Common Stock
78,ACII,Atlas Crest Investment Corp. II Class A Common Stock
79,ACIU,AC Immune SA Common Stock
80,ACIW,ACI Worldwide Inc. Common Stock
81,ACKIT,Ackrell SPAC Partners I Co. Subunits
82,ACKIU,Ackrell SPAC Partners I Co. Units
83,ACKIW,Ackrell SPAC Partners I Co. Warrants
84,ACLS,Axcelis Technologies Inc. Common Stock
85,ACM,AECOM Common Stock
86,ACMR,ACM Research Inc. Class A Common Stock
87,ACN,Accenture plc Class A Ordinary Shares (Ireland)
88,ACNB,ACNB Corporation Common Stock
89,ACOR,Acorda Therapeutics Inc. Common Stock
90,ACP,Aberdeen Income Credit Strategies Fund Common Shares
91,ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
92,ACQR,Independence Holdings Corp. Class A Ordinary Share
93,ACQRU,Independence Holdings Corp. Units
94,ACQRW,Independence Holdings Corp. Warrant
95,ACR,ACRES Commercial Realty Corp. Common Stock
